pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist,sy_vmag,sy_gaiamag
Kepler-49 b,Kepler-49,Transit,2012,7.2,0.0688,2.579,9.77,0.0331,80.45,939.0,4095.6,0.618,0.607,0.0195,311.222,15.655,15.2293
Kepler-49 c,Kepler-49,Transit,2012,10.91,0.0688,2.444,8.38,0.008,80.45,939.0,4095.6,0.618,0.607,0.0195,311.222,15.655,15.2293
Kepler-49 d,Kepler-49,Transit,2014,2.576549,0.031,1.6,87.351625,0.0331,80.45,939.0,4252.0,0.559,0.95,0.0195,311.222,15.655,15.2293
Kepler-49 e,Kepler-49,Transit,2014,18.596108,0.116,1.56,87.351625,0.0331,80.45,939.0,4252.0,0.559,0.95,0.0195,311.222,15.655,15.2293
Kepler-490 b,Kepler-490,Transit,2016,3.268695154,0.0688,11.65,87.351625,0.0331,80.45,939.0,6045.0,1.12,1.08,-0.02,1523.0,14.843,14.8173
Kepler-491 b,Kepler-491,Transit,2016,4.225384512,0.0688,8.92,87.351625,0.0331,80.45,939.0,5582.0,1.03,1.04,0.37,630.785,14.178,13.9616
Kepler-493 b,Kepler-493,Transit,2016,3.003876581,0.0688,15.13,87.351625,0.0331,80.45,939.0,6457.0,1.54,1.36,0.11,1745.77,15.268,15.0352
Kepler-495 b,Kepler-495,Transit,2016,3.413036221,0.0688,5.23,87.351625,0.0331,80.45,939.0,5346.0,0.83,0.86,-0.07,658.924,14.942,14.6074
Kepler-495 c,Kepler-495,Transit,2021,5.896609783,0.0688,1.21936414,87.351625,0.0331,80.45,939.0,5392.0,1.087,0.888,0.18,658.924,14.942,14.6074
Kepler-496 b,Kepler-496,Transit,2016,8.30864937,0.0688,2.32,87.351625,0.0331,80.45,939.0,5293.0,0.82,0.86,-0.03,605.274,15.106,14.796
Kepler-497 b,Kepler-497,Transit,2016,3.573203671,0.0688,6.04,87.351625,0.0331,80.45,939.0,5834.0,1.11,1.09,0.24,1291.98,14.95,15.0987
Kepler-498 b,Kepler-498,Transit,2016,9.61375356,0.0688,3.03,87.351625,0.0331,80.45,939.0,5744.0,0.96,0.98,-0.04,938.844,14.349,14.2463
Kepler-499 b,Kepler-499,Transit,2016,5.632528453,0.0688,2.17,87.351625,0.0331,80.45,939.0,5312.0,0.83,0.87,0.0,556.726,14.63,14.349
Kepler-5 b,Kepler-5,Transit,2009,3.5484657,0.0538,15.984034,670.93913,0.0331,80.45,1750.0,6297.0,1.793,1.374,0.04,899.777,13.325,13.2263
Kepler-50 b,Kepler-50,Transit,2012,7.81254,0.077,1.71,87.351625,0.0331,80.45,939.0,6225.0,1.58,1.24,0.03,250.11,10.544,10.3621
Kepler-50 c,Kepler-50,Transit,2012,9.37647,0.087,2.17,87.351625,0.0331,80.45,939.0,6225.0,1.58,1.24,0.03,250.11,10.544,10.3621
Kepler-500 b,Kepler-500,Transit,2016,8.508324398,0.0688,2.58,87.351625,0.0331,80.45,939.0,5813.0,1.03,1.02,0.03,807.48,14.324,14.1736
Kepler-501 b,Kepler-501,Transit,2016,5.640677572,0.0688,4.3,87.351625,0.0331,80.45,939.0,5904.0,1.04,1.03,-0.03,1125.24,14.886,14.7303
